AnimalName,AnimalGender,BreedName,Borough,LicenseIssuedDate
AFRICA,F,Yorkshire Terrier,Bronx,12/31/2016
APOLLO,M,Norwegian Elkhound,Brooklyn,12/31/2016
APRIL,F,Terrier mix,Manhattan,12/31/2016
BELLA,F,Chihuahua,Bronx,12/31/2016
BELLA,F,Havanese,Bronx,12/31/2016
BIBI,M,American Pit Bull Mix / Pit Bull Mix,Bronx,12/31/2016
BISCUIT,M,Yorkshire Terrier,Manhattan,12/31/2016
BOBO,F,"Poodle, Standard",Brooklyn,12/31/2016
BRADY,M,Rat Terrier,Manhattan,12/31/2016
BRANDO,M,English Springer Spaniel,Manhattan,12/31/2016
BRODY ,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,12/31/2016
BRUNO,M,Shih Tzu,Brooklyn,12/31/2016
BRUNO ,M,American Pit Bull Terrier/Pit Bull,Brooklyn,12/31/2016
CAMARENA,M,Poodle,Brooklyn,12/31/2016
CAPELLAN,M,Yorkshire Terrier,Staten Island,12/31/2016
CARAMEL,F,Maltese,Manhattan,12/31/2016
CHARRIE,F,Unknown,Manhattan,12/31/2016
CHICO,M,Unknown,Brooklyn,12/31/2016
CHOW-CHOW ,F,Chow Chow,Brooklyn,12/31/2016
CLEMENTINE,F,Unknown,Brooklyn,12/31/2016
CORA,F,American Pit Bull Terrier/Pit Bull,Queens,12/31/2016
DAISY,F,Labrador Retriever,Queens,12/31/2016
DEAN,M,Yorkshire Terrier,Queens,12/31/2016
DELLA,F,Golden Retriever,Bronx,12/31/2016
DJ,M,Cocker Spaniel,Queens,12/31/2016
DODGE,M,Pug,Queens,12/31/2016
EDDIE,M,Terrier mix,Brooklyn,12/31/2016
EDISON,M,Alaskan Malamute,Staten Island,12/31/2016
EMERALD,F,American Staffordshire Terrier ,Queens,12/31/2016
FREJYA,F,Samoyed,Brooklyn,12/31/2016
HARLEY,M,Shiba Inu,Brooklyn,12/31/2016
HUGO,M,Brussels Griffon,Queens,12/31/2016
IKE,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,12/31/2016
JACKI,F,Miniature Pinscher,Queens,12/31/2016
JOSIE,F,Basset Hound,Staten Island,12/31/2016
JUPITER ,M,Chihuahua Crossbreed,Manhattan,12/31/2016
KARMA,F,Havanese,Queens,12/31/2016
KIWI,F,Australian Shepherd,Staten Island,12/31/2016
KRAFCSIK,M,Shih Tzu,Brooklyn,12/31/2016
KYANDI,F,Shih Tzu,Staten Island,12/31/2016
LUCA,M,Yorkshire Terrier,Queens,12/31/2016
MABEL,F,Beagle Crossbreed,Brooklyn,12/31/2016
MAGGIE,F,Shih Tzu,Queens,12/31/2016
MAGGIE ,F,Unknown,Manhattan,12/31/2016
MATILDA ,F,"Bull Dog, English",Brooklyn,12/31/2016
MIA,F,Havanese,Manhattan,12/31/2016
MICKEY,M,Labrador Retriever,Manhattan,12/31/2016
MOCHA,F,American Pit Bull Terrier/Pit Bull,Brooklyn,12/31/2016
MOTEK,F,Unknown,Manhattan,12/31/2016
NA,M,Pug,Queens,12/31/2016
NAME ,M,Poodle,Queens,12/31/2016
NAME NOT PROVIDED,M,Maltese,Bronx,12/31/2016
OLIVE,F,Cavalier King Charles Spaniel,Manhattan,12/31/2016
OREO,M,Shih Tzu,Brooklyn,12/31/2016
PANDA,M,"Poodle, Toy",Queens,12/31/2016
PANDA ,F,Shih Tzu,Queens,12/31/2016
POOCHY,M,Yorkshire Terrier,Bronx,12/31/2016
QUINN,F,Unknown,Brooklyn,12/31/2016
RICHARD-1,M,Dachshund Smooth Coat,Staten Island,12/31/2016
ROCCO,M,Labrador Retriever,Queens,12/31/2016
ROCKO,M,Chihuahua,Queens,12/31/2016
ROCKY,M,Boston Terrier,Manhattan,12/31/2016
ROXY ,F,"Collie, Border",Brooklyn,12/31/2016
SAIDGANIEV,F,Shih Tzu,Brooklyn,12/31/2016
SAMWISE,M,Norwich Terrier,Manhattan,12/31/2016
SASSYS,F,Yorkshire Terrier,Bronx,12/31/2016
SNOW,M,Beagle,Bronx,12/31/2016
SPENCER,M,Beagle,Brooklyn,12/31/2016
SUNDAI ,F,Labrador Retriever,Bronx,12/31/2016
SUNNY,M,Border Collie Crossbreed,Brooklyn,12/31/2016
TEDDY,M,Boston Terrier,Queens,12/31/2016
TESS ,F,Cavalier King Charles Spaniel,Manhattan,12/31/2016
TUCKER,M,Unknown,Queens,12/31/2016
UNKNOWN,F,Pomeranian Crossbreed,Brooklyn,12/31/2016
VALENTINA,F,German Shepherd Crossbreed,Staten Island,12/31/2016
VENUS,F,Yorkshire Terrier,Bronx,12/31/2016
WILLOW,F,Unknown,Manhattan,12/31/2016
ZAINA ,F,Unknown,Brooklyn,12/31/2016
ALFRED,M,Shih Tzu Crossbreed,Manhattan,12/30/2016
ANNALIESE,F,Shih Tzu,Brooklyn,12/30/2016
APPLE,F,Pomeranian,Manhattan,12/30/2016
APPLEWHITE,M,Shih Tzu,Brooklyn,12/30/2016
ARCHIE,M,Boston Terrier,Manhattan,12/30/2016
ARI,M,Shih Tzu,Queens,12/30/2016
ARIES,F,Unknown,Manhattan,12/30/2016
ARYA,F,Shiba Inu,Richmond Hill,12/30/2016
AVALON,F,Unknown,Brooklyn,12/30/2016
BAILEY,F,Golden Retriever,Staten Island,12/30/2016
BAXTER,M,Chihuahua,Brooklyn,12/30/2016
BELLA,F,American Pit Bull Terrier/Pit Bull,Brooklyn,12/30/2016
BELLA,F,Chihuahua,Manhattan,12/30/2016
BELLA,F,Chihuahua,Bronx,12/30/2016
BENJAMIN ,M,Shih Tzu,Brooklyn,12/30/2016
BIGSBY,M,Chihuahua,Manhattan,12/30/2016
BLANCHE,F,Shih Tzu Crossbreed,Queens,12/30/2016
BLEU ,M,Maltipoo,Brooklyn,12/30/2016
BLITZEN,M,Manchester Terrier,Manhattan,12/30/2016
BLITZEN,M,Unknown,Brooklyn,12/30/2016
BLUE,M,American Pit Bull Terrier/Pit Bull,Bronx,12/30/2016
BREILY,M,Shih Tzu,Bronx,12/30/2016
BUDDY,M,Labrador Retriever Crossbreed,Queens,12/30/2016
BUDDY,M,Schnauzer Crossbreed,Staten Island,12/30/2016
BUSTER,M,Havanese,Manhattan,12/30/2016
BUTTER ,M,"Mastiff, Bull",Queens,12/30/2016
C ,M,Unknown,Manhattan,12/30/2016
CANNELENI,M,Maltese,New York ,12/30/2016
CARTER,M,Chihuahua,Manhattan,12/30/2016
CESAR,M,American Pit Bull Mix / Pit Bull Mix,Bronx,12/30/2016
CESAR ,M,Siberian Husky,Queens,12/30/2016
CHENILLE,F,Jack Russell Terrier,Manhattan,12/30/2016
CHESTER,M,Poodle Crossbreed,Brooklyn,12/30/2016
CHESTER,M,"Coonhound, Treeing Walker",Brooklyn,12/30/2016
CHLOE,F,Unknown,Queens,12/30/2016
COFFEE ,M,Shih Tzu,Brooklyn,12/30/2016
COOKIE,F,Pomeranian,Queens,12/30/2016
COOKIE ,F,Puggle,Staten Island,12/30/2016
COOPER,M,Boxer,Manhattan,12/30/2016
DANIEL,M,Yorkshire Terrier,Queens,12/30/2016
DAX,M,Beagle Crossbreed,Manhattan,12/30/2016
DEXTER,M,Shiba Inu,Brooklyn,12/30/2016
DIWALI,F,Beagle Crossbreed,Bronx,12/30/2016
DONNA,F,Cairn Terrier,Manhattan,12/30/2016
DUDLEY,M,Labrador Retriever,Manhattan,12/30/2016
DUKE ,M,German Shepherd Dog,Staten Island,12/30/2016
DULSINEIA,F,Chihuahua,Brooklyn,12/30/2016
EIN ,F,Shiba Inu,Queens,12/30/2016
ELEANOR,F,Terrier mix,Brooklyn,12/30/2016
EMMA,F,Yorkshire Terrier,Manhattan,12/30/2016
EMMA,F,American Foxhound,Manhattan,12/30/2016
EVIE,F,Chihuahua,Manhattan,12/30/2016
FHAYE,F,Siberian Husky,Brooklyn,12/30/2016
FINN,M,Labrador Retriever,Brooklyn,12/30/2016
FRITZ,M,German Shepherd Dog,Queens,12/30/2016
GEORGIA,F,Unknown,Brooklyn,12/30/2016
GEORGIE ,M,Havanese,Bronx,12/30/2016
GIZMO,M,Shih Tzu,Queens,12/30/2016
GUCCI,M,Shih Tzu,Manhattan,12/30/2016
HARLEY,M,German Shepherd Dog,Queens,12/30/2016
HAZEL,F,Poodle Crossbreed,Brooklyn,12/30/2016
HELMET,M,Chihuahua Crossbreed,Brooklyn,12/30/2016
HENRY ,M,Unknown,Staten Island,12/30/2016
HITCHI,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,12/30/2016
HOLIDAY ,F,Unknown,Manhattan,12/30/2016
HOLLY,F,Chihuahua,Bronx,12/30/2016
HONEY ,F,Golden Retriever,Brooklyn,12/30/2016
HUDSON,M,Golden Retriever,Brooklyn,12/30/2016
HUGO,M,Rat Terrier Crossbreed,Bronx,12/30/2016
ISSA,F,Chihuahua,Manhattan,12/30/2016
JACK,M,Jack Russell Terrier,Queens,12/30/2016
JACK ,M,Chihuahua,Manhattan,12/30/2016
JADA,F,Chihuahua,Bronx,12/30/2016
JAKE,M,Yorkshire Terrier,Queens,12/30/2016
JAKE ,M,"Bull Dog, English",Staten Island,12/30/2016
JEFFERSON,M,German Shepherd Crossbreed,Manhattan,12/30/2016
JESSE,F,Cane Corso,Manhattan,12/30/2016
JET,M,German Shepherd Dog,Staten Island,12/30/2016
JUNIOR,M,Pomeranian,Bronx,12/30/2016
JUNIOR,M,Rhodesian Ridgeback,Bronx,12/30/2016
KANUI ,M,Unknown,Queens,12/30/2016
KELLI ,F,Unknown,Manhattan,12/30/2016
KHLOE,F,Yorkshire Terrier Crossbreed,Bronx,12/30/2016
KING,M,Lhasa Apso,Bronx,12/30/2016
KIRILENKO,M,Poodle,Brooklyn,12/30/2016
KOLENOVIC,M,Yorkshire Terrier,Bronx,12/30/2016
LAKSA,F,Greyhound,Brooklyn,12/30/2016
LEO,M,Chihuahua,Bronx,12/30/2016
LEO,M,Unknown,Manhattan,12/30/2016
LILI ,F,Miniature Schnauzer,Brooklyn,12/30/2016
LILLIE,F,Maltese,Queens,12/30/2016
LILLY ,F,Unknown,Manhattan,12/30/2016
LILY,F,Pomeranian,Staten Island,12/30/2016
LOLA,F,Black and Tan Coonhound,Manhattan,12/30/2016
LOLA ,F,Cocker Spaniel,Bronx,12/30/2016
LOUIE,M,Redbone Coonhound,Manhattan,12/30/2016
LUCY,F,Havanese,Queens,12/30/2016
LUXE,F,Chihuahua,Brooklyn,12/30/2016
MAX,M,Shih Tzu Crossbreed,Brooklyn,12/30/2016
MAXIMUS,M,Cocker Spaniel,Queens,12/30/2016
MIA,F,Chihuahua Crossbreed,Brooklyn,12/30/2016
MIA ,F,Maltese,Bronx,12/30/2016
MIMI,F,Unknown,Queens,12/30/2016
MINA,F,Beagle Crossbreed,Manhattan,12/30/2016
MOBY,M,"Bull Dog, English",Manhattan,12/30/2016
MOCA,F,Labrador Retriever,Brooklyn,12/30/2016
MOCHA,M,"Poodle, Standard",Queens,12/30/2016
MOCHI,M,Beagle,Queens,12/30/2016
MOLLY,F,Unknown,Queens,12/30/2016
MR. ,M,Chihuahua Crossbreed,Brooklyn,12/30/2016
MURPHY ,M,Unknown,Brooklyn,12/30/2016
NAME,M,Yorkshire Terrier,Brooklyn,12/30/2016
NAME NOT PROVIDED,M,Miniature Schnauzer,Queens,12/30/2016
NAME NOT PROVIDED,M,Chihuahua,Brooklyn,12/30/2016
NAVY,F,Labrador Retriever,Manhattan,12/30/2016
NICOLETTA,F,Labrador Retriever Crossbreed,Manhattan,12/30/2016
NINA,F,Shetland Sheepdog,Manhattan,12/30/2016
NINI,F,Unknown,Bronx,12/30/2016
NORMAN,M,Yorkshire Terrier,Manhattan,12/30/2016
OAKLEY,M,Labrador Retriever,Staten Island,12/30/2016
OREO,M,Shih Tzu,Brooklyn,12/30/2016
PARKER,M,Golden Retriever,Manhattan,12/30/2016
PATCHY,M,Chihuahua,Manhattan,12/30/2016
PENNY,F,Vizsla,Brooklyn,12/30/2016
PENNY,F,Unknown,Queens,12/30/2016
PEPPA ,F,Unknown,Bronx,12/30/2016
PIG,M,American Pit Bull Mix / Pit Bull Mix,Bronx,12/30/2016
PITO ,M,Chihuahua Crossbreed,Bronx,12/30/2016
PJ ,M,Shih Tzu Crossbreed,Bronx,12/30/2016
PORKCHOP,M,American Pit Bull Terrier/Pit Bull,Queens,12/30/2016
PRADA,M,Yorkshire Terrier,Brooklyn,12/30/2016
PRINCESS,F,American Pit Bull Terrier/Pit Bull,Queens,12/30/2016
QUEENIE,F,Shih Tzu,Queens,12/30/2016
QUEENIE ,F,Chihuahua,Bronx,12/30/2016
REMY,M,Chihuahua Crossbreed,Manhattan,12/30/2016
REUBEN,M,French Bulldog,Manhattan,12/30/2016
REXI,M,"Poodle, Miniature",Brooklyn,12/30/2016
ROCKO,M,Shiba Inu,Manhattan,12/30/2016
ROSARIO,F,Yorkshire Terrier,Queens,12/30/2016
ROSCOE,M,Unknown,Staten Island,12/30/2016
RUSTY,M,Labrador Retriever Crossbreed,Manhattan,12/30/2016
SARA,F,Shiba Inu,Queens,12/30/2016
SCOUT,M,Boxer Crossbreed,Brooklyn,12/30/2016
SHAGGY,M,Maltese,Bronx,12/30/2016
SHEBA,F,Pug,Brooklyn,12/30/2016
SHERLOCK ,M,Goldendoodle,Brooklyn,12/30/2016
SHIBA ,M,Shiba Inu,Staten Island,12/30/2016
SHIRLEY,F,Tibetan Terrier,Manhattan,12/30/2016
SIRICO,M,Yorkshire Terrier,Brooklyn,12/30/2016
SKEETER,F,Jack Russell Terrier,Queens,12/30/2016
SNOWBALL ,M,Maltese,Queens,12/30/2016
SNOWY,M,Lhasa Apso,Manhattan,12/30/2016
SOPHIE,F,Shih Tzu Crossbreed,Bronx,12/30/2016
SPANKY,M,Boxer Crossbreed,Manhattan,12/30/2016
ST. ,F,Yorkshire Terrier,Brooklyn,12/30/2016
STELLA,F,Jack Russell Terrier,Manhattan,12/30/2016
STELLA,F,Havanese,Staten Island,12/30/2016
STERLING,M,Golden Retriever,Manhattan,12/30/2016
SUGAR,F,Havanese,Manhattan,12/30/2016
SUNNY,M,Labrador Retriever Crossbreed,Staten Island,12/30/2016
TAFFY,F,"Bull Dog, English",Manhattan,12/30/2016
TANOOKI,F,Beagle Crossbreed,Brooklyn,12/30/2016
TAQUITO,M,Papillon,Staten Island,12/30/2016
TIFFANY,F,American Pit Bull Terrier/Pit Bull,Manhattan,12/30/2016
TOBY,M,Labradoodle,Manhattan,12/30/2016
TOY,F,Lhasa Apso,Queens,12/30/2016
TROUBLE,F,Unknown,Manhattan,12/30/2016
TUCKER,M,Beagle,Brooklyn,12/30/2016
TYSON,M,American Pit Bull Terrier/Pit Bull,Brooklyn,12/30/2016
UNKNOWN,M,"Schnauzer, Miniature",Brooklyn,12/30/2016
UNKNOWN,M,Dachshund Smooth Coat,Brooklyn,12/30/2016
UNKNOWN,F,Morkie,Brooklyn,12/30/2016
UNKNOWN,F,Beagle Crossbreed,Brooklyn,12/30/2016
VANITY ,F,Yorkshire Terrier,Bronx,12/30/2016
VICTOR,M,Pug,Brooklyn,12/30/2016
WALLY,M,Unknown,Bronx,12/30/2016
WATSON ,M,Beagle Crossbreed,Brooklyn,12/30/2016
WYATT,M,Labrador Retriever Crossbreed,Brooklyn,12/30/2016
YODA ,M,Yorkshire Terrier,Bronx,12/30/2016
ZELDA ,F,Puggle,Manhattan,12/30/2016
ZEUS,M,Doberman Pinscher,Staten Island,12/30/2016
ZOEY,F,Chihuahua,Brooklyn,12/30/2016
AKILA,F,Basenji,Manhattan,12/29/2016
ALI,F,Yorkshire Terrier,Manhattan,12/29/2016
ALICIA ,F,Havanese,Manhattan,12/29/2016
ALLY,F,American Pit Bull Terrier/Pit Bull,Queens,12/29/2016
AMY ,F,Yorkshire Terrier,Queens,12/29/2016
ANNIE,F,Havanese,Manhattan,12/29/2016
APOLLO,M,Italian Greyhound,Queens,12/29/2016
APPLES,F,Labrador Retriever,Queens,12/29/2016
AUGUSTA,F,Labrador Retriever,Manhattan,12/29/2016
AVA,F,Unknown,Staten Island,12/29/2016
BABY ,F,Bichon Frise,Brooklyn,12/29/2016
BAGEL,M,Beagle Crossbreed,Brooklyn,12/29/2016
BAILEY,F,Puggle,Brooklyn,12/29/2016
BAILEY ,M,Yorkshire Terrier,Staten Island,12/29/2016
BAMBI ,F,"Poodle, Toy",Queens,12/29/2016
BANJO,M,Redbone Coonhound,Manhattan,12/29/2016
BEANS,M,Shih Tzu,Staten Island,12/29/2016
BELLA,F,Labrador Retriever Crossbreed,Staten Island,12/29/2016
BELLA,F,American Staffordshire Terrier ,Manhattan,12/29/2016
BELLA,F,Boxer,Staten Island,12/29/2016
BELLA,F,American Pit Bull Mix / Pit Bull Mix,Manhattan,12/29/2016
BELLA ,F,Shih Tzu,Bronx,12/29/2016
BELLE ,F,Boston Terrier,Manhattan,12/29/2016
BELLS,F,Maltese Crossbreed,Manhattan,12/29/2016
BEN ,M,Shih Tzu,Queens,12/29/2016
BENJAMIN,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,12/29/2016
BENJI,M,Unknown,Brooklyn,12/29/2016
BENZI,M,Yorkshire Terrier,Staten Island,12/29/2016
BERGANO,M,Shih Tzu,Queens,12/29/2016
BETTY,F,Labrador Retriever Crossbreed,Manhattan,12/29/2016
BITTY,F,Shih Tzu,Queens,12/29/2016
BLACK ,M,Jack Russell Terrier,Staten Island,12/29/2016
BLANCO,M,Unknown,Queens,12/29/2016
BOCHICCHIO,M,Shih Tzu,Staten Island,12/29/2016
BOND ,M,Maltese,Manhattan,12/29/2016
BRISCOE ,M,Unknown,Manhattan,12/29/2016
BROOKLYN,F,Unknown,Manhattan,12/29/2016
BRUNO,M,Labrador Retriever Crossbreed,Brooklyn,12/29/2016
BRUNO,M,"Bull Dog, English",Brooklyn,12/29/2016
BRYCE,F,West High White Terrier,Staten Island,12/29/2016
BUDDY,M,Unknown,Staten Island,12/29/2016
BUDDY,M,Puggle,Queens,12/29/2016
BUTTERCUP,F,Maltese,Manhattan,12/29/2016
CASH,M,Chihuahua,Brooklyn,12/29/2016
CELINE,F,Chihuahua,Manhattan,12/29/2016
CHARLIE,M,German Shepherd Crossbreed,Staten Island,12/29/2016
CHARLIE ,M,Dachshund Smooth Coat Miniature,Queens,12/29/2016
CHAVIS,M,Yorkshire Terrier,Queens,12/29/2016
CHLOE,F,Shih Tzu,Brooklyn,12/29/2016
CHLOE,F,Yorkshire Terrier,Manhattan,12/29/2016
CLOVIS ,F,Papillon,Brooklyn,12/29/2016
COCO,F,Dachshund,Brooklyn,12/29/2016
CODY,M,Chihuahua,Bronx,12/29/2016
COOKIE,F,Havanese,Manhattan,12/29/2016
COOPER,M,Poodle Crossbreed,Brooklyn,12/29/2016
CYRUS,M,German Shepherd Crossbreed,Bronx,12/29/2016
DA ,M,Golden Retriever,Brooklyn,12/29/2016
DAKOTA,F,Pug,Bronx,12/29/2016
DANKE,M,Pug,Brooklyn,12/29/2016
DARLA ,F,Maltese,Manhattan,12/29/2016
DEE ,F,American Pit Bull Terrier/Pit Bull,Brooklyn,12/29/2016
DELILAH,F,Boxer Crossbreed,Brooklyn,12/29/2016
DELL,F,German Shepherd Crossbreed,Manhattan,12/29/2016
DEXTER,M,Labrador Retriever Crossbreed,Manhattan,12/29/2016
DINO ,M,Jack Russell Terrier,Staten Island,12/29/2016
DOTTIE,F,Yorkshire Terrier Crossbreed,Queens,12/29/2016
DUBBA,M,American Pit Bull Terrier/Pit Bull,Brooklyn,12/29/2016
ELLE,F,"Bull Dog, American",Brooklyn,12/29/2016
FAY ,M,French Bulldog,Staten Island,12/29/2016
FINNEGAN ,M,West High White Terrier,Manhattan,12/29/2016
FLASH,M,Jack Russell Terrier,Manhattan,12/29/2016
FLUFFY,M,Maltipoo,Manhattan,12/29/2016
FOX ,M,Labrador Retriever Crossbreed,Brooklyn,12/29/2016
FOXY,F,Labrador Retriever Crossbreed,Manhattan,12/29/2016
FRANKIE,M,Dachshund Smooth Coat Miniature,Manhattan,12/29/2016
FULTON,M,Unknown,Manhattan,12/29/2016
GEORGE,M,Boxer,Manhattan,12/29/2016
GINGER,F,Labrador Retriever Crossbreed,Brooklyn,12/29/2016
GIZMO ,M,Unknown,Queens,12/29/2016
GOWGOW,M,Yorkshire Terrier,Manhattan,12/29/2016
GUERIERO,F,Yorkshire Terrier,Bronx,12/29/2016
GUINNESS,M,Labrador Retriever Crossbreed,Brooklyn,12/29/2016
HAMILTON,M,"Poodle, Miniature",Manhattan,12/29/2016
HANLEY,M,Wheaton Terrier,Manhattan,12/29/2016
HAZE,F,Labrador Retriever Crossbreed,Manhattan,12/29/2016
HERCULES,M,American Staffordshire Terrier ,Brooklyn,12/29/2016
HERCULES ,M,Golden Retriever,Brooklyn,12/29/2016
HERMIONE ,F,Unknown,Brooklyn,12/29/2016
HUDSON,M,"Poodle, Miniature",Manhattan,12/29/2016
HUDSON,M,Golden Retriever,Manhattan,12/29/2016
HUNTER,M,Beagle,Queens,12/29/2016
HUNTER,M,Labrador Retriever,QUEENS,12/29/2016
INDY,F,Goldendoodle,Staten Island,12/29/2016
JACK,M,Miniature Schnauzer,Queens,12/29/2016
JACK,M,"Welsh Corgi, Cardigan",Manhattan,12/29/2016
JACK,M,Maltese,Brooklyn,12/29/2016
JACK,M,"Schnauzer, Miniature",Manhattan,12/29/2016
JACKIE,F,Shih Tzu,Manhattan,12/29/2016
JASPER,M,Havanese,Manhattan,12/29/2016
JASPER,M,Shiba Inu,Manhattan,12/29/2016
JASPER ,M,Shih Tzu,Manhattan,12/29/2016
JAX,M,American Pit Bull Terrier/Pit Bull,Queens,12/29/2016
KHAN ,M,Rottweiler,Manhattan,12/29/2016
KING ,M,Cane Corso,Bronx,12/29/2016
KINGSTON ,M,"Schnauzer, Standard",Brooklyn,12/29/2016
LANA,F,"Poodle, Toy",Manhattan,12/29/2016
LAYLA,F,Beagle Crossbreed,Staten Island,12/29/2016
LAYLAH ,F,Maltese,Queens,12/29/2016
LEIA,F,Jack Russell Terrier,Manhattan,12/29/2016
LEX ,M,West High White Terrier,Queens,12/29/2016
LILLA ,F,Shih Tzu,Brooklyn,12/29/2016
LILLY,F,Dalmatian,Brooklyn,12/29/2016
LOLA,F,"Shar-Pei, Chinese",Bronx,12/29/2016
LOLLY,F,Shih Tzu,Bronx,12/29/2016
LOUIE,M,Maltese,Queens,12/29/2016
LOUISE,F,"Poodle, Standard",Manhattan,12/29/2016
LUCY,F,French Bulldog,Manhattan,12/29/2016
LUCY ,F,Dachshund Smooth Coat Miniature,Queens,12/29/2016
LUNA,F,Shih Tzu Crossbreed,Bronx,12/29/2016
MADELYN,F,Unknown,Manhattan,12/29/2016
MAMBO,M,Chihuahua,Brooklyn,12/29/2016
MARIE,F,Beagle Crossbreed,Manhattan,12/29/2016
MARILYN,F,Unknown,Queens,12/29/2016
MASON,M,Yorkshire Terrier,Manhattan,12/29/2016
MASON-DIXON,M,Redbone Coonhound,Manhattan,12/29/2016
MATIS,F,Poodle,Queens,12/29/2016
MAX,M,Unknown,Brooklyn,12/29/2016
MAX,M,Boxer,Queens,12/29/2016
MAX ,M,Maltese,Staten Island,12/29/2016
MAX ,M,American Pit Bull Mix / Pit Bull Mix,Bronx,12/29/2016
MAX ,M,Shih Tzu,Staten Island,12/29/2016
MAXIMILION,M,Yorkshire Terrier,Queens,12/29/2016
MAXOLA,M,Unknown,Brooklyn,12/29/2016
MIA,F,Labrador Retriever Crossbreed,Queens,12/29/2016
MIKEY,M,Cavalier King Charles Spaniel,Manhattan,12/29/2016
MILO,M,Brittany Spaniel,Manhattan,12/29/2016
MOCHA ,M,Lhasa Apso,Queens,12/29/2016
MOLLIE,F,Shih Tzu,Staten Island,12/29/2016
MOLLY,F,Unknown,Manhattan,12/29/2016
MORGAN,M,Labrador Retriever,Bronx,12/29/2016
MOXXI,F,Cavalier King Charles Spaniel,Manhattan,12/29/2016
MUFFY ,F,Pekingese,Manhattan,12/29/2016
MURPHY,F,Unknown,Manhattan,12/29/2016
MURRAY,M,Wheaton Terrier,Manhattan,12/29/2016
NA,M,Bichon Frise Crossbreed,Queens,12/29/2016
NADIA,F,Golden Retriever,Manhattan,12/29/2016
NALA,F,German Shepherd Dog,Brooklyn,12/29/2016
NALA,F,Beagle Crossbreed,Brooklyn,12/29/2016
NAME,M,Dachshund,Brooklyn,12/29/2016
NATHAN ,M,Unknown,Staten Island,12/29/2016
NELLIE,F,"Shar-Pei, Chinese",Manhattan,12/29/2016
NEWMAN,M,Poodle Crossbreed,Manhattan,12/29/2016
NICO,M,Unknown,Brooklyn,12/29/2016
NICO,M,Unknown,Staten Island,12/29/2016
NITRO,M,American Pit Bull Terrier/Pit Bull,Staten Island,12/29/2016
NOAH,M,Shih Tzu,Brooklyn,12/29/2016
NOT ,M,Shih Tzu Crossbreed,Queens,12/29/2016
OLIVE,F,Wheaton Terrier,Manhattan,12/29/2016
OLIVER,M,Unknown,Bronx,12/29/2016
OREO ,M,Boston Terrier,Bronx,12/29/2016
OWEN,M,Border Collie Crossbreed,Brooklyn,12/29/2016
PADDINGTON,M,Shiba Inu,Manhattan,12/29/2016
PAT ,M,Labrador Retriever Crossbreed,Manhattan,12/29/2016
PEANUT,M,Unknown,Staten Island,12/29/2016
PEANUT ,M,Yorkshire Terrier,Queens,12/29/2016
PEBBLES,F,Rottweiler,Manhattan,12/29/2016
PENNY ,F,Unknown,Queens,12/29/2016
PEPPER,M,Shih Tzu Crossbreed,Queens,12/29/2016
PHOEBE,F,Bull Terrier,Queens,12/29/2016
PHOEBE ,F,Unknown,Manhattan,12/29/2016
PIPPA,F,Chihuahua Crossbreed,Manhattan,12/29/2016
POGACS,F,Puli,Queens,12/29/2016
PRECIOUS,F,American Staffordshire Terrier ,Brooklyn,12/29/2016
PRIME,M,American Pit Bull Terrier/Pit Bull,Brooklyn,12/29/2016
PROMISE,M,Unknown,Staten Island,12/29/2016
PUMBAA,M,Shih Tzu,Brooklyn,12/29/2016
QUINCY ,M,Shih Tzu,Queens,12/29/2016
RAMBO,M,Unknown,Queens,12/29/2016
RANGERS,M,Havanese,Manhattan,12/29/2016
RED,M,English Foxhound,Brooklyn,12/29/2016
REMI,M,"Dachshund, Long Haired",Brooklyn,12/29/2016
REMINGTON ,M,Cocker Spaniel,Manhattan,12/29/2016
REMY,M,American Pit Bull Mix / Pit Bull Mix,Queens,12/29/2016
RICKY ,M,American Eskimo dog,Queens,12/29/2016
RILEY,F,American Pit Bull Terrier/Pit Bull,Queens,12/29/2016
RIÓ ,M,"Schnauzer, Miniature",Manhattan,12/29/2016
ROCCO,M,"Bull Dog, English",Brooklyn,12/29/2016
ROCKSI,F,Labrador Retriever,Staten Island,12/29/2016
ROCKY,M,German Shepherd Dog,Brooklyn,12/29/2016
ROMEO,M,Shih Tzu,Staten Island,12/29/2016
ROSA ,F,Golden Retriever,Manhattan,12/29/2016
ROXIE,F,Cavalier King Charles Spaniel,Manhattan,12/29/2016
RUBY,F,American Pit Bull Terrier/Pit Bull,Brooklyn,12/29/2016
RUDY,M,American Staffordshire Terrier ,Manhattan,12/29/2016
RUGBY ,M,American Pit Bull Terrier/Pit Bull,Manhattan,12/29/2016
SAILOR,F,Yorkshire Terrier,Manhattan,12/29/2016
SAVANNAH,F,Great Pyrenees,Manhattan,12/29/2016
SEBASTIAN,M,Unknown,Manhattan,12/29/2016
SHADOW,M,"Poodle, Miniature",Brooklyn,12/29/2016
SHILO,M,Yorkshire Terrier,Brooklyn,12/29/2016
SHINOBI,F,Shiba Inu,Queens,12/29/2016
SISCO ,M,Bichon Frise,Staten Island,12/29/2016
SMITHER,M,Pug,Staten Island,12/29/2016
SMOKEY,M,English Foxhound,Brooklyn,12/29/2016
